"","ID","state","attend_online","attend_meet","buttons_signs","donate","contact_congr","registered","party","vote","votechoice","ft_biden","ft_trump","ft_harris","ft_pence","ft_fauci","ft_scotus","ft_congress","ft_police","ft_science","ft_blm","limits_campaigns","limit_imports","immigration","refugees","act_ineq","hist_discrim","econ_mobility","tax_rich","aca","vaccines","reg_emissions","background_checks","freetrade","minwage"
"2457",233510,NA,"No","No","No","No","No",3,NA,"No",NA,50,50,50,50,50,50,50,50,70,50,"Neutral",2,"Same","Favor","Oppose a great deal","Neutral","A great deal harder","Oppose","Neutral","Approve","Neutral","Approve","Neutral","Raised"
"2458",233534,48,"No","No","No","No","No",NA,NA,"Yes","Biden",70,0,70,0,70,70,0,60,70,40,"Favor",2,"Same","Favor","Favor a moderate amount","Agree Strongly","A great deal harder","Favor","Approve","Approve","Approve","Approve","Approve","Raised"
"2459",233541,26,"No","No","No","No","No",1,NA,"No",NA,30,15,NA,50,NA,50,30,70,85,15,"Favor",1,"Same","Neutral","Neutral","Disagree strongly","Moderately Easier","Favor","Approve","Neutral","Approve","Approve","Neutral","Raised"
"2460",233565,37,"No","No","No","No","No",NA,1,"Yes","Biden",85,0,85,0,85,60,50,85,85,85,"Favor",2,"Increased a litte","Favor","Neutral","Agree Strongly","Same","Favor","Approve","Approve","Approve","Approve","Neutral","Raised"
"2461",233596,18,"No","No","No","No","No",NA,NA,"No",NA,50,30,60,40,40,50,40,95,85,0,"Favor",2,"Same","Favor","Neutral","Disagree Somewhat","A little harder","Oppose","Neutral","Disapprove","Neutral","Approve","Approve","Same"
"2462",233602,49,"No","No","Yes","No","No",NA,2,"Yes","Biden",60,59,45,70,100,50,30,65,70,30,"Favor",2,"Increased a lot","Favor","Favor a great deal","Agree Strongly","Same","Oppose","Neutral","Approve","Approve","Approve","Approve","Same"
"2463",233619,25,"No","No","No","Yes","No",NA,1,"Yes","Biden",100,0,100,0,100,70,30,85,70,70,"Favor",1,"Decreased a little","Favor","Favor a great deal","Agree somewhat","A great deal harder","Favor","Approve","Approve","Approve","Approve","Neutral","Raised"
"2464",233626,25,"No","No","No","Yes","No",NA,2,"Yes","Trump",0,70,0,90,60,50,0,90,80,10,"Favor",2,"Same","Neutral","Oppose a moderate amount","Disagree Somewhat","A great deal harder","Oppose","Neutral","Approve","Neutral","Approve","Approve","Raised"
"2465",233633,29,"Yes","No","Yes","Yes","No",NA,NA,"Yes","Biden",100,0,85,30,85,30,50,60,85,100,"Favor",2,"Increased a litte","Favor","Favor a great deal","Agree somewhat","Moderately harder","Favor","Approve","Approve","Approve","Approve","Neutral","Raised"
"2466",233640,53,"No","No","Yes","No","Yes",NA,NA,"Yes","Biden",100,0,100,0,100,5,55,75,100,100,"Favor",2,"Increased a lot","Favor","Favor a great deal","Agree Strongly","A little harder","Favor","Approve","Approve","Approve","Approve","Approve","Raised"
"2467",233657,13,"No","No","No","No","No",NA,NA,"Yes","Trump",15,85,0,100,40,70,40,85,50,30,"Favor",1,"Same","Neutral","Oppose a great deal","Disagree strongly","Little easier","Oppose","Disapprove","Approve","Disapprove","Approve","Neutral","Eliminated"
"2468",233664,38,"No","No","No","No","No",1,NA,"Yes","Trump",0,100,0,100,50,50,50,100,50,0,"Neutral",1,"Decreased a little","Neutral","Neutral","Disagree strongly","A great deal harder","Oppose","Disapprove","Approve","Neutral","Approve","Neutral","Same"
"2469",233671,6,"No","No","No","No","No",NA,1,"Yes","Trump",15,85,15,85,60,30,60,15,70,60,"Neutral",1,"Decreased a lot","Oppose","Oppose a great deal","Agree Strongly","Same","Oppose","Approve","Approve","Neutral","Approve","Approve","Raised"
"2470",233688,8,"No","No","No","No","No",NA,2,"Yes","Trump",30,30,15,85,85,85,30,85,85,15,"Favor",2,"Decreased a lot","Oppose","Neutral","Disagree strongly","A great deal harder","Oppose","Neutral","Approve","Disapprove","Approve","Approve","Same"
"2471",233695,17,"No","No","No","No","No",NA,NA,"Yes","Trump",15,100,0,100,60,70,60,100,70,70,"Neutral",1,"Decreased a little","Oppose","Neutral","Disagree Somewhat","A great deal harder","Favor","Approve","Neutral","Disapprove","Approve","Neutral","Same"
"2472",233718,NA,"No","No","No","No","No",3,NA,"No",NA,40,40,60,50,85,50,30,85,70,50,"Favor",2,"Decreased a little","Neutral","Neutral","Neutral","A little harder","Favor","Disapprove","Approve","Approve","Approve","Neutral","Raised"
"2473",233725,42,"Yes","No","Yes","Yes","Yes",NA,1,"Yes","Biden",100,0,90,0,100,10,40,20,100,90,"Favor",1,"Same","Favor","Neutral","Agree Strongly","A little harder","Favor","Approve","Approve","Approve","Approve","Neutral","Raised"
"2474",233732,9,"No","No","No","No","No",NA,4,"Yes","Trump",15,55,0,60,70,85,30,100,60,15,"Neutral",1,"Same","Neutral","Neutral","Disagree Somewhat","A great deal harder","Neutral","Disapprove","Neutral","Disapprove","Approve","Approve","Same"
"2475",233749,6,"No","No","No","No","No",NA,4,"Yes","Biden",60,0,70,0,85,15,0,30,100,100,"Favor",2,"Increased a litte","Favor","Favor a great deal","Agree Strongly","A great deal harder","Favor","Approve","Approve","Approve","Approve","Approve","Raised"
"2476",233756,9,"No","No","No","No","No",NA,1,"Yes","Biden",70,0,85,0,100,50,60,40,100,70,"Favor",2,"Increased a litte","Favor","Favor a great deal","Agree Strongly","A great deal harder","Favor","Approve","Approve","Approve","Approve","Approve","Raised"
"2477",233770,36,"No","No","No","No","No",NA,4,"Yes","Trump",0,70,0,70,85,70,60,85,70,0,"Favor",1,"Decreased a lot","Oppose","Oppose a great deal","Agree somewhat","A little harder","Favor","Disapprove","Disapprove","Approve","Approve","Disapprove","Raised"
"2478",233787,36,"No","No","No","No","No",NA,1,"Yes","Biden",70,0,70,50,85,60,50,85,60,60,"Favor",1,"Same","Neutral","Favor a moderate amount","Neutral","Moderately harder","Neutral","Neutral","Approve","Approve","Approve","Neutral","Raised"
